12475429;8673;15;01;27;23;05;13
5161479;296;14;05;21;17;40;08
28963521;25622;13;31;35;39;23;08
10058701;19574;09;16;34;19;39;41
9616191;916;08;06;27;33;05;40
15093698;10697;24;38;03;07;05;06
37000000;12756;41;29;07;06;13;28
37304764;13957;30;19;39;41;11;09
13962970;11570;14;34;06;24;18;16
33970887;29011;37;25;29;06;11;12
21136282;22021;38;11;26;05;24;30
7696052;10117;28;31;15;21;25;16
39516130;14991;27;04;39;14;37;03
24173576;22434;18;15;24;35;38;06
10508626;25800;03;22;31;28;12;05
36213079;9139;37;34;13;25;01;32
20789551;4894;10;24;32;06;34;35
90894149;16631;29;27;41;01;14;08
23143514;6548;19;07;21;03;27;06
19853345;25225;08;32;25;11;04;39
14744077;16494;19;01;37;09;16;30
93486840;21455;11;00;13;10;04;08
30043856;1079;08;24;37;25;02;26
38611757;252;24;32;09;18;27;23
1591990;7492;41;33;18;21;00;32
3560460;203;21;06;40;11;24;30
91977752;18267;23;22;34;26;12;21
15206440;408;40;21;20;12;00;18
26739519;12496;01;17;30;35;37;16
31042496;14293;14;00;24;16;15;05
31492819;8492;05;12;39;09;32;25
33942683;21252;32;14;07;12;03;13
31400439;2153;06;17;19;21;14;24
16121471;2768;21;39;03;32;04;05
13468249;9776;18;29;07;11;09;37
6173280;4773;12;20;31;18;02;01
24700884;22043;18;01;15;12;22;33
39056217;2315;40;05;00;29;34;12
39552945;25304;34;32;39;35;19;21
7218274;6582;03;00;29;31;09;36
38944959;20167;25;30;36;05;27;20
39733509;9324;37;25;09;16;21;18
13198117;5893;09;02;05;37;28;11
17132625;12516;41;32;01;20;16;23
32186170;8141;07;04;34;10;41;16
17015141;22559;22;29;17;27;10;00
11569374;24172;37;05;35;21;03;23
91653644;26846;32;12;35;27;33;26
11737244;27537;10;29;40;41;17;30
96326008;18463;33;24;28;15;18;05
1580457;26652;28;36;13;29;09;01
35053778;4738;19;22;17;31;20;28
10209178;9325;34;11;00;20;12;30
33987857;18709;10;39;16;37;28;32
92828024;19696;08;40;09;19;22;30
20084497;10421;41;15;40;16;29;14
15352141;18898;12;40;37;36;17;08
91927712;3350;18;38;04;14;02;15
17681615;20320;08;21;39;14;10;34
26222281;12581;03;04;21;40;11;23
8761748;28096;34;38;36;33;41;26
90946120;23485;27;20;23;16;07;02
32650581;10941;21;40;01;37;20;26
7748689;26855;00;41;38;02;22;40
32729317;21275;17;03;04;08;29;00
90911943;2437;10;18;01;13;22;30
18202153;13322;18;26;12;21;36;01
94948350;5994;04;34;09;01;24;31
7784699;27219;04;27;06;01;03;02
1907808;13446;08;06;03;20;19;38
39326675;15303;33;30;28;13;27;09
19520715;10690;04;13;25;24;15;37
97461141;2100;30;36;07;35;01;26
28697403;3832;36;11;08;01;22;33
30610581;29036;10;25;35;38;11;26
28491080;5850;00;15;04;32;38;33
20693017;1602;40;20;06;30;02;21
92272640;24603;02;13;15;09;19;17
29930648;2313;37;13;04;07;36;16
98927520;5109;28;32;29;13;14;30
19351468;25307;28;21;41;22;16;12
25122508;7655;09;02;27;35;10;08
98327251;5951;03;01;07;40;30;19
18745112;7771;20;12;36;11;27;21
7435496;19419;21;03;39;02;12;05
9935415;3186;18;15;09;25;13;11
34127210;25299;35;07;21;34;41;00
6860270;17823;07;35;16;26;38;15
96298244;22889;01;39;20;18;35;14
96991907;14628;01;26;34;23;27;20
7033948;16373;08;22;10;11;14;31
13153291;325;30;20;17;31;10;32
90739247;19717;29;28;07;30;35;32
15249054;2889;00;24;21;06;11;12
5758282;10190;07;00;17;37;13;12
37476873;18693;01;34;28;32;30;20
17331453;19284;07;00;05;13;08;02
2474864;7813;04;24;07;35;15;37
5469592;6209;04;14;28;38;16;27
90310498;22844;01;23;14;32;37;29
26939179;19342;11;34;05;36;28;27
14126820;3221;29;22;40;39;19;37
15713025;15260;29;04;30;03;40;15
4643318;7985;36;16;23;13;39;20
92707118;19403;03;31;33;30;11;27
4270720;25239;17;37;34;41;02;01
92813699;15418;11;29;21;32;17;30
22351449;12702;33;07;28;39;29;37
2187033;22329;31;07;03;36;16;11
26159662;27349;41;13;15;38;31;33
96020002;21574;06;11;16;03;22;23
39929044;4234;19;13;24;04;21;06
99932160;9243;14;11;16;30;05;32
25753966;1572;03;11;17;40;39;26
31573960;399;06;28;23;29;19;14
8177485;26241;28;21;14;10;01;04
15420598;10080;35;36;23;38;17;24
16373819;11515;12;00;26;20;11;14
26243980;8289;01;17;06;14;15;30
23241588;23095;05;35;23;08;15;01
11267780;541;22;08;04;36;24;11
93313260;15024;07;35;32;24;12;20
16510098;14591;35;06;17;03;15;39
97149427;3137;35;25;14;24;13;05
25996233;25158;25;31;09;40;01;34
99319662;16192;30;11;13;24;07;03
13393327;3783;11;03;04;07;16;26
26818196;9599;35;16;19;10;27;01
1494769;3339;00;11;33;41;08;34
26103830;2742;11;04;19;18;13;38
92751531;23637;10;11;04;14;12;09
27760143;23399;38;15;12;33;20;21
96464920;22043;02;28;21;10;13;12
28994513;28494;34;38;29;23;12;15
90824406;11285;00;08;16;04;03;25
99003828;26552;01;38;18;25;23;05
99852224;11150;22;16;08;24;04;10
92692152;2804;05;21;02;13;12;23
4901216;20218;41;01;35;15;37;04
18886026;28846;22;05;30;06;17;41
24551811;8196;22;17;28;25;40;20
34698604;21173;27;04;35;05;13;03
27789021;3671;27;18;41;40;22;35
14260773;28659;38;07;19;39;15;12
18977281;951;37;28;18;30;24;12
16951892;23207;37;38;34;09;20;10
4049261;9645;28;04;33;01;20;19
97268422;22142;06;36;09;35;10;33
23366695;10841;33;00;02;38;01;18
33434237;11556;17;08;34;00;36;15
26334473;16091;37;23;17;08;35;10
8025553;11359;27;01;40;03;20;30
15055244;2530;07;01;32;20;26;19
17043241;23527;31;27;38;13;02;03
31676108;5630;03;20;39;27;33;31
38819602;9427;18;13;05;12;33;14
35756487;7448;40;04;23;27;35;13
25203850;28220;21;06;38;32;30;11
39674901;22666;31;40;32;27;07;34
13081631;10739;16;24;20;07;17;26
24478603;18173;26;02;00;33;19;38
9915116;1413;12;38;04;14;30;29
1407360;13502;30;39;03;16;40;25
29553366;1764;02;00;38;29;07;15
6262036;28432;03;28;22;17;12;36
19493530;361;28;37;25;40;11;13
